month,years_observed,mean_delay_rate,median_delay_rate,mean_cancellation_rate,mean_impact_minutes,month_label
1,6,0.18785430775087286,0.19155125323728156,0.02910962321619558,136807.16666666666,Jan
2,6,0.1784406538119386,0.18576335695677815,0.025439548854624544,122685.33333333333,Feb
3,6,0.17429338034491385,0.2150642023174358,0.03763031191451469,143409.83333333334,Mar
4,6,0.1689616378565004,0.18665716034591867,0.09376949721635824,139836.83333333334,Apr
5,6,0.1830349412321901,0.20584048453642512,0.023848382886223804,143529.16666666666,May
6,6,0.23524824004059366,0.2658185977102316,0.03380827315283089,213444.33333333334,Jun
7,6,0.25740952320609234,0.28896571024405276,0.04903606918374972,252228.33333333334,Jul
8,6,0.21367812870692407,0.2358906268966446,0.0282292618563147,183963.66666666666,Aug
9,6,0.16151703625215255,0.16091579673332757,0.018154925326670967,135586.83333333334,Sep
10,6,0.15038527898263498,0.15303925895264286,0.006317441905142958,108264.5,Oct
11,6,0.15410253527031123,0.16133298517307668,0.008639294802070098,105158.66666666667,Nov
12,6,0.23153234328993424,0.22717039344004303,0.021326762349879406,169391.66666666666,Dec
